epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.3128,1.79605,4.66047,1.55159,0.9023,0.09151,0.09256,0.05966,1.79448,4.27265,1.57074,0.00014442,0.00014442,0.00014442
2,159.446,1.78788,3.42676,1.51327,0.50648,0.17858,0.13748,0.08228,1.81684,3.62635,1.59091,0.000283689,0.000283689,0.000283689
3,224.145,1.73757,2.87628,1.50489,0.66392,0.19339,0.17879,0.10306,1.7857,3.06228,1.58159,0.000417217,0.000417217,0.000417217
4,284.06,1.68262,2.60794,1.48218,0.6277,0.23106,0.19296,0.11475,1.6628,2.8062,1.50507,0.000409161,0.000409161,0.000409161
5,343.199,1.66882,2.40426,1.4581,0.6605,0.21901,0.21747,0.12618,1.66797,2.55615,1.52958,0.000400548,0.000400548,0.000400548
6,401.981,1.62331,2.25545,1.43607,0.55195,0.27353,0.24624,0.14031,1.65305,2.43414,1.51234,0.000391935,0.000391935,0.000391935
7,460.684,1.58657,2.10162,1.42387,0.62335,0.28442,0.27135,0.15504,1.61618,2.33188,1.46711,0.000383322,0.000383322,0.000383322
8,521.011,1.55912,2.04736,1.40114,0.6612,0.26582,0.27923,0.16215,1.60205,2.11294,1.45414,0.000374709,0.000374709,0.000374709
9,580.495,1.55596,1.97733,1.4035,0.69975,0.26188,0.28212,0.15907,1.56008,2.17693,1.43696,0.000366096,0.000366096,0.000366096
10,640.153,1.52391,1.9023,1.36979,0.6546,0.26799,0.3043,0.17509,1.54237,1.97783,1.39505,0.000357483,0.000357483,0.000357483
11,700.976,1.51345,1.86072,1.36773,0.60323,0.27998,0.2927,0.16825,1.56371,1.98247,1.41802,0.00034887,0.00034887,0.00034887
12,763.115,1.50363,1.80727,1.36252,0.68101,0.27529,0.30161,0.17024,1.54502,1.87318,1.42221,0.000340257,0.000340257,0.000340257
13,823.447,1.47801,1.74537,1.34885,0.68004,0.31395,0.31064,0.18458,1.51659,1.84464,1.40222,0.000331644,0.000331644,0.000331644
14,883.752,1.48977,1.70859,1.34228,0.68946,0.2928,0.32106,0.18526,1.51005,1.85316,1.38471,0.000323031,0.000323031,0.000323031
15,946.502,1.45754,1.67077,1.33044,0.70098,0.29241,0.32093,0.1868,1.48169,1.80334,1.37261,0.000314418,0.000314418,0.000314418
16,1005.51,1.44916,1.63562,1.32134,0.67909,0.30989,0.30863,0.1815,1.50176,1.78994,1.38932,0.000305805,0.000305805,0.000305805
17,1064.54,1.42866,1.61636,1.3183,0.70483,0.30136,0.32536,0.18644,1.47793,1.70388,1.37891,0.000297192,0.000297192,0.000297192
18,1123.47,1.43495,1.59122,1.31666,0.71691,0.29923,0.33338,0.1945,1.50383,1.68505,1.3849,0.000288579,0.000288579,0.000288579
19,1184.18,1.4135,1.55616,1.30355,0.7248,0.28734,0.31243,0.18491,1.5145,1.78478,1.41827,0.000279966,0.000279966,0.000279966
20,1243.16,1.41865,1.53307,1.29933,0.71682,0.29925,0.33461,0.19562,1.48965,1.65805,1.3682,0.000271353,0.000271353,0.000271353
21,1302.25,1.39886,1.49984,1.29537,0.6301,0.3121,0.32213,0.18326,1.49466,1.65287,1.40135,0.00026274,0.00026274,0.00026274
22,1361.41,1.3997,1.47548,1.29112,0.71996,0.31402,0.33933,0.19036,1.49064,1.66296,1.36366,0.000254127,0.000254127,0.000254127
23,1422.11,1.38006,1.45104,1.2742,0.67153,0.33097,0.35323,0.20176,1.44419,1.62786,1.33521,0.000245514,0.000245514,0.000245514
24,1481.13,1.37247,1.45358,1.27502,0.69468,0.33649,0.34918,0.20376,1.45156,1.55316,1.33475,0.000236901,0.000236901,0.000236901
25,1540.19,1.37466,1.4164,1.26811,0.68102,0.34199,0.34845,0.19877,1.4441,1.57949,1.31521,0.000228288,0.000228288,0.000228288
26,1599.34,1.35541,1.40483,1.26063,0.6492,0.33912,0.3403,0.19642,1.46129,1.5607,1.37336,0.000219675,0.000219675,0.000219675
27,1660.21,1.34302,1.39214,1.25556,0.67629,0.34565,0.34997,0.19495,1.44286,1.50738,1.33221,0.000211062,0.000211062,0.000211062
28,1722.02,1.33831,1.37377,1.24901,0.61159,0.35197,0.36083,0.21035,1.44534,1.46892,1.34047,0.000202449,0.000202449,0.000202449
